query,dataflow,scale_factor,customer_factor,core_pin,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,simulate_compute_ms,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:47:00.0
# Slurm Info: 30663 32 1 gres:gpu:gpu_group1:1
# ../../../bin/ssb --dataflow=SSD2GPU --chunk_bytes=65536,262144,1048576,4194304,16777216,67108864,268435456 --comp_algo=UNCOMPRESSED,BEST_BW_COMP --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=select_orderpriority,select_commitdate --repeat=2 --scale_factor=100 --ssdpath=/raid/gds/100G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb100.dat --store_offset=0 --workers=1,2,4,8,16 --customer_factor=1 --sim_compute_ms=100 --event_sync=false
#[INFO ] Loading table data from disk ...
select_orderpriority,SSD2GPU,100,1,,8,1,1,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,8002842624,86839070720,645537792,9600266112,0,-1,1259.96,-1,74.5313,,,,
select_orderpriority,SSD2GPU,100,1,,8,1,1,268435456,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,11626721280,86839070720,645341184,9600266112,0,-1,987.483,-1,90.1129,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,65536,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,1048576,86775697408,9600266240,9600266112,0,-1,1213.14,-1,2510.91,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,262144,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,4194304,86775894016,9600266240,9600266112,0,-1,1118.07,-1,1061.44,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,1048576,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,16777216,86776156160,9600266240,9600266112,0,-1,1120.67,-1,496.73,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,4194304,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,67108864,86776156160,9600266240,9600266112,0,-1,1111.7,-1,489.424,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,16777216,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,268435456,86788739072,9600266240,9600266112,0,-1,1118.92,-1,475.329,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,67108864,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,1073741824,86839070720,9600266240,9600266112,0,-1,1125.4,-1,467.805,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,268435456,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,4294967296,86839070720,9600266240,9600266112,0,-1,1151.05,-1,474.853,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,65536,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,13592125440,86775697408,1023455232,9600266112,0,-1,382939,-1,11784.4,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,13599203328,86775894016,727875584,9600266112,0,-1,110925,-1,3125.55,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,1048576,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,13627514880,86776156160,660602880,9600266112,0,-1,31129.4,-1,870.49,,,,
select_orderpriority,SSD2GPU,100,1,,16,1,1,4194304,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,100,0,42298834944,13740761088,86776156160,645906432,9600266112,0,-1,8967.77,-1,233.327,,,,
