query,dataflow,scale_factor,customer_factor,core_pin,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,simulate_compute_us,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
query1.2,SSD2GPU2CPU,200,1,,8,1,1,268435456,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,3758873056,233387004408,16800219136,16800214942,9753788416,-1,2879.81,0.1479,378.866,,,,
#[INFO ] chunk_num: 9156, tuples_per_chunk: 131072, Tuples total 1200015353
#[INFO ] The result is: 18167977739771
#[INFO ] Pruned: 8581 of 9156 chunks (0.94), 4672069632 of 4991037440 bytes (0.94)
query1.2,SSD2GPU2CPU,200,1,,8,1,1,1048576,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,9122469728,233387113848,4991037440,16800214942,4672069632,-1,243181,0.302794,347.337,,,,
#[INFO ] chunk_num: 2289, tuples_per_chunk: 524288, Tuples total 1200015353
#[INFO ] The result is: 18167977739771
#[INFO ] Pruned: 2089 of 2289 chunks (0.91), 4490964992 of 4928978944 bytes (0.91)
query1.2,SSD2GPU2CPU,200,1,,8,1,1,4194304,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,9094520660,233387031444,4928978944,16800214942,4490964992,-1,80281.7,0.207684,120.796,,,,
#[INFO ] chunk_num: 573, tuples_per_chunk: 2097152, Tuples total 1200015353
#[INFO ] The result is: 18167977739771
#[INFO ] Pruned: 465 of 573 chunks (0.81), 3985330176 of 4919549952 bytes (0.81)
query1.2,SSD2GPU2CPU,200,1,,8,1,1,16777216,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,9459136388,233387010852,4919549952,16800214942,3985330176,-1,38728,0.178579,82.9371,,,,
#[INFO ] chunk_num: 144, tuples_per_chunk: 8388608, Tuples total 1200015353
#[INFO ] The result is: 18167977739771
#[INFO ] Pruned: 99 of 144 chunks (0.69), 3397410816 of 4941320192 bytes (0.69)
query1.2,SSD2GPU2CPU,200,1,,8,1,1,67108864,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,11036646800,233387005704,4941320192,16800214942,3397410816,-1,28155.9,0.16329,93.557,,,,
#[INFO ] chunk_num: 36, tuples_per_chunk: 33554432, Tuples total 1200015353
#[INFO ] The result is: 18167977739771
#[INFO ] Pruned: 21 of 36 chunks (0.58), 2882215936 of 4940308480 bytes (0.58)
query1.2,SSD2GPU2CPU,200,1,,8,1,1,268435456,65536,BEST_BW_COMP,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,17376436448,233387004408,4940308480,16800214942,2882215936,-1,25821.6,0.129565,141.448,,,,
#[INFO ] chunk_num: 9156, tuples_per_chunk: 131072, Tuples total 1200015353
#[INFO ] The result is: 4936900771232
#[INFO ] Pruned: 8580 of 9156 chunks (0.94), 15743254528 of 16800219136 bytes (0.94)
query1.3,SSD2GPU2CPU,200,1,,8,1,1,1048576,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,184176736,233387113848,16800219136,16800214942,15743254528,-1,2844.03,0.309186,356.174,,,,
#[INFO ] chunk_num: 2289, tuples_per_chunk: 524288, Tuples total 1200015353
#[INFO ] The result is: 4936900771232
#[INFO ] Pruned: 2088 of 2289 chunks (0.91), 15324872704 of 16800219136 bytes (0.91)
query1.3,SSD2GPU2CPU,200,1,,8,1,1,4194304,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,101177428,233387031444,16800219136,16800214942,15324872704,-1,2818.37,0.210239,163.475,,,,
#[INFO ] chunk_num: 573, tuples_per_chunk: 2097152, Tuples total 1200015353
#[INFO ] The result is: 4936900771232
#[INFO ] Pruned: 463 of 573 chunks (0.81), 13570605056 of 16800219136 bytes (0.81)
query1.3,SSD2GPU2CPU,200,1,,8,1,1,16777216,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,245592196,233387010852,16800219136,16800214942,13570605056,-1,2836.34,0.17939,203.239,,,,
#[INFO ] chunk_num: 144, tuples_per_chunk: 8388608, Tuples total 1200015353
#[INFO ] The result is: 4936900771232
#[INFO ] Pruned: 99 of 144 chunks (0.69), 11515396096 of 16800219136 bytes (0.69)
query1.3,SSD2GPU2CPU,200,1,,8,1,1,67108864,65536,UNCOMPRESSED,general_dimsort,0,COMBINED,128,0.01,2048,-1,1,42298834944,942298768,233387005704,16800219136,16800214942,11515396096,-1,2875.5,0.173419,323.74,,,,
#[INFO ] chunk_num: 36, tuples_per_chunk: 33554432, Tuples total 1200015353
#[INFO ] The result is: 4936900771232
