query,dataflow,scale_factor,customer_factor,core_pin,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,col_filter_lo,col_filter_hi,simulate_compute_us,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
query3.1,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,5472.9,,,,
#Hashtable Builds took 2162.65 ms
#[INFO ] Sum of results            =149374184073883
#[INFO ] Number of results (groups)=150
query3.1,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,67108864,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,5467.48,,,,
#Hashtable Builds took 2163.43 ms
#[INFO ] Sum of results            =149374184073883
#[INFO ] Number of results (groups)=150
query3.1,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,268435456,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,5485.94,,,,
#Hashtable Builds took 751.859 ms
#[INFO ] Sum of results            =6005678401013
#[INFO ] Number of results (groups)=600
query3.2,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,2573.1,,,,
#Hashtable Builds took 757.606 ms
#[INFO ] Sum of results            =6005678401013
#[INFO ] Number of results (groups)=600
query3.2,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,2582.93,,,,
#Hashtable Builds took 764.805 ms
#[INFO ] Sum of results            =6005678401013
#[INFO ] Number of results (groups)=600
query3.2,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,67108864,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,2587.28,,,,
#Hashtable Builds took 756.47 ms
#[INFO ] Sum of results            =6005678401013
#[INFO ] Number of results (groups)=600
query3.2,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,268435456,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,2598.66,,,,
#Hashtable Builds took 230.593 ms
#[INFO ] Sum of results            =235147590664
#[INFO ] Number of results (groups)=24
query3.3,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,1760.43,,,,
#Hashtable Builds took 222.285 ms
#[INFO ] Sum of results            =235147590664
#[INFO ] Number of results (groups)=24
query3.3,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,1759.72,,,,
#Hashtable Builds took 210.998 ms
#[INFO ] Sum of results            =235147590664
#[INFO ] Number of results (groups)=24
query3.3,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,67108864,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,1739.86,,,,
#Hashtable Builds took 210.634 ms
#[INFO ] Sum of results            =235147590664
#[INFO ] Number of results (groups)=24
query3.3,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,268435456,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,1757.49,,,,
#Hashtable Builds took 213.101 ms
#[INFO ] Sum of results            =3488624376
#[INFO ] Number of results (groups)=4
query3.4,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,1747.78,,,,
#Hashtable Builds took 211.524 ms
#[INFO ] Sum of results            =3488624376
#[INFO ] Number of results (groups)=4
query3.4,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,1730.9,,,,
#Hashtable Builds took 210.469 ms
#[INFO ] Sum of results            =3488624376
#[INFO ] Number of results (groups)=4
query3.4,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,67108864,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,1748.55,,,,
#Hashtable Builds took 210.582 ms
#[INFO ] Sum of results            =3488624376
#[INFO ] Number of results (groups)=4
query3.4,INMEM,200,50,,16,8,32,0,65536,BEST_BW_COMP,natural,268435456,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,278075001408,0,50400429884,0,-1,-1,-1,1735.36,,,,
#Hashtable Builds took 4409.99 ms
#[INFO ] Sum of results            =149416692602991
#[INFO ] Number of results (groups)=150
query3.1,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,8060.77,,,,
#Hashtable Builds took 4389.32 ms
#[INFO ] Sum of results            =149416692602991
#[INFO ] Number of results (groups)=150
query3.1,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,8093.17,,,,
#Hashtable Builds took 4402.46 ms
#[INFO ] Sum of results            =149416692602991
#[INFO ] Number of results (groups)=150
query3.1,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,67108864,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,8121.53,,,,
#Hashtable Builds took 4404.94 ms
#[INFO ] Sum of results            =149416692602991
#[INFO ] Number of results (groups)=150
query3.1,INMEM,200,100,,16,8,32,0,65536,BEST_BW_COMP,natural,268435456,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,323674999360,0,67200429884,0,-1,-1,-1,8218.64,,,,
#Hashtable Builds took 1543.37 ms
