query,dataflow,scale_factor,customer_factor,pipelines,extra_pipelines,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,population_ms,comp_ms,time_ms
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =6850758987717
#[INFO ] Number of results (groups)=56
query2.2,SSD2GPU2CPU,200,1,8,1,1,8388608,65536,UNCOMPRESSED,none,0,42505273344,295727856,154185978608,33617346560,33600429884,-1,3992.57,1753.38
#[INFO ] Lineorder columns bytes: 33646706688	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =6850758987717
#[INFO ] Number of results (groups)=56
query2.2,SSD2GPU2CPU,200,1,8,1,1,16777216,65536,UNCOMPRESSED,none,0,42505273344,530608880,154185978608,33646706688,33600429884,-1,4071.24,1684.86
#[INFO ] Lineorder columns bytes: 33705426944	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =6850758987717
#[INFO ] Number of results (groups)=56
query2.2,SSD2GPU2CPU,200,1,8,1,1,33554432,65536,UNCOMPRESSED,none,0,42505273344,1000370928,154185978608,33705426944,33600429884,-1,3950.54,1690.8
#[INFO ] Lineorder columns bytes: 33822867456	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =6850758987717
#[INFO ] Number of results (groups)=56
query2.2,SSD2GPU2CPU,200,1,8,1,1,67108864,65536,UNCOMPRESSED,none,0,42505273344,1939895024,154185978608,33822867456,33600429884,-1,3970.32,1770.35
#[INFO ] Lineorder columns bytes: 33822867456	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =6850758987717
#[INFO ] Number of results (groups)=56
query2.2,SSD2GPU2CPU,200,1,8,1,1,134217728,65536,UNCOMPRESSED,none,0,42505273344,3818943216,154185978608,33822867456,33600429884,-1,3957.77,1663.51
#[INFO ] Lineorder columns bytes: 10543452160	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =925114773972
#[INFO ] Number of results (groups)=7
query2.3,SSD2GPU2CPU,200,1,8,1,1,8388608,65536,BEST_BW_COMP,none,0,42505273344,607058416,154185978608,10543452160,33600429884,-1,4180.72,586.622
#[INFO ] Lineorder columns bytes: 10545147904	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =925114773972
#[INFO ] Number of results (groups)=7
query2.3,SSD2GPU2CPU,200,1,8,1,1,16777216,65536,BEST_BW_COMP,none,0,42505273344,1135540720,154185978608,10545147904,33600429884,-1,4026.08,566.289
#[INFO ] Lineorder columns bytes: 10560462848	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =925114773972
#[INFO ] Number of results (groups)=7
query2.3,SSD2GPU2CPU,200,1,8,1,1,33554432,65536,BEST_BW_COMP,none,0,42505273344,2192505328,154185978608,10560462848,33600429884,-1,3978.03,566.698
#[INFO ] Lineorder columns bytes: 10595323904	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =925114773972
#[INFO ] Number of results (groups)=7
query2.3,SSD2GPU2CPU,200,1,8,1,1,67108864,65536,BEST_BW_COMP,none,0,42505273344,4306434544,154185978608,10595323904,33600429884,-1,3888.01,558.084
#[INFO ] Lineorder columns bytes: 10594304000	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =925114773972
#[INFO ] Number of results (groups)=7
query2.3,SSD2GPU2CPU,200,1,8,1,1,134217728,65536,BEST_BW_COMP,none,0,42505273344,8534292976,154185978608,10594304000,33600429884,-1,3852.74,533.958
#[INFO ] Lineorder columns bytes: 33617346560	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =925114773972
#[INFO ] Number of results (groups)=7
query2.3,SSD2GPU2CPU,200,1,8,1,1,8388608,65536,UNCOMPRESSED,none,0,42505273344,295727856,154185978608,33617346560,33600429884,-1,4021.9,1740.47
#[INFO ] Lineorder columns bytes: 33646706688	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =925114773972
#[INFO ] Number of results (groups)=7
query2.3,SSD2GPU2CPU,200,1,8,1,1,16777216,65536,UNCOMPRESSED,none,0,42505273344,530608880,154185978608,33646706688,33600429884,-1,4023.1,1684.56
#[INFO ] Lineorder columns bytes: 33705426944	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =925114773972
#[INFO ] Number of results (groups)=7
query2.3,SSD2GPU2CPU,200,1,8,1,1,33554432,65536,UNCOMPRESSED,none,0,42505273344,1000370928,154185978608,33705426944,33600429884,-1,3908.2,1685.03
#[INFO ] Lineorder columns bytes: 33822867456	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =925114773972
#[INFO ] Number of results (groups)=7
query2.3,SSD2GPU2CPU,200,1,8,1,1,67108864,65536,UNCOMPRESSED,none,0,42505273344,1939895024,154185978608,33822867456,33600429884,-1,3921.7,1667.54
#[INFO ] Lineorder columns bytes: 33822867456	(1200015353 tuples)
