# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:B7:00.0
# Slurm Info: 24264 32 1 gres:gpu:gpu_group3:1
# ../bin/sample_ssb --chunk_bytes=8388608,16777216,33554432,67108864,134217728,268435456 --comp_algo=LZ4,Cascaded,Snappy,Gdeflate,Bitcomp,ANS --cuda_device=0 --init_variant=init_only --nvchunk=65536 --repeat=2 --scale_factor=200 --ssdpath=/raid/gds/100G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb200.dat --store_offset=0 --workers=8 --customer_factor=1 --columns=lo_key,lo_linenum,lo_custkey,lo_partkey,lo_suppkey,lo_orderdate,lo_linenumber,lo_orderpriority,lo_quantity,lo_extendedprice,lo_ordtotalprice,lo_discount,lo_revenue,lo_supplycost,lo_tax,lo_commitdate,lo_shipmode --sample_ratio=0.01,0.05,0.1,0.2
col_name,comp_algo,uncomp_bytes,chunk_bytes,sample_ratio,workers,comp_bytes,comp_time,decomp_time
lo_revenue_sample_RATIO,Bitcomp,240003068,268435456,0.05,8,175661056,63.4872,17.8948
lo_supplycost_sample_BW,Bitcomp,240003068,8388608,0.05,8,129118208,41.805,9.13773
lo_supplycost_sample_RATIO,Bitcomp,240003068,268435456,0.05,8,127332352,50.8851,13.7008
lo_tax_sample_BW,Bitcomp,60000767,8388608,0.05,8,33259520,10.685,2.96913
lo_tax_sample_RATIO,ANS,60000767,67108864,0.05,8,23912448,13.4218,4.4572
lo_commitdate_sample_BW,Bitcomp,480006136,8388608,0.05,8,146350080,56.3382,9.40796
lo_commitdate_sample_RATIO,Bitcomp,480006136,16777216,0.05,8,146288640,53.7171,9.54597
lo_shipmode_sample_BW,Gdeflate,960012272,67108864,0.05,8,133632000,180.775,11.2203
lo_shipmode_sample_RATIO,Gdeflate,960012272,8388608,0.05,8,128303104,711.438,17.6537
lo_key_sample_BW,Cascaded,960012280,33554432,0.1,8,35344384,57.0679,3.69117
lo_key_sample_RATIO,Cascaded,960012280,8388608,0.1,8,35115008,68.3118,5.98382
