# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:07:00.0
# Slurm Info: 32541 32 1 gres:gpu:1
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33247744/33554432(KiB) IOSize: 512(KiB) Throughput: 2.741063 GiB/sec, Avg_Latency: 704.294384 usecs ops: 64937 total_time 11.567598 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33268736/33554432(KiB) IOSize: 1024(KiB) Throughput: 5.017748 GiB/sec, Avg_Latency: 774.875610 usecs ops: 32489 total_time 6.323064 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33040384/33554432(KiB) IOSize: 2048(KiB) Throughput: 5.932807 GiB/sec, Avg_Latency: 1297.318151 usecs ops: 16133 total_time 5.311106 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33062912/33554432(KiB) IOSize: 4096(KiB) Throughput: 6.557842 GiB/sec, Avg_Latency: 2349.218360 usecs ops: 8072 total_time 4.808175 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 32923648/33554432(KiB) IOSize: 8192(KiB) Throughput: 7.000824 GiB/sec, Avg_Latency: 4425.272085 usecs ops: 4019 total_time 4.484963 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33046528/33554432(KiB) IOSize: 16384(KiB) Throughput: 7.282347 GiB/sec, Avg_Latency: 8548.417538 usecs ops: 2017 total_time 4.327674 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33128448/33554432(KiB) IOSize: 32768(KiB) Throughput: 7.325134 GiB/sec, Avg_Latency: 16904.519001 usecs ops: 1011 total_time 4.313061 secs
IoType: READ XferType: ASYNC Threads: 4 DataSetSize: 33030144/33554432(KiB) IOSize: 65536(KiB) Throughput: 7.388660 GiB/sec, Avg_Latency: 33477.904649 usecs ops: 504 total_time 4.263290 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 33025344/33554432(KiB) IOSize: 64(KiB) Throughput: 0.495189 GiB/sec, Avg_Latency: 983.778342 usecs ops: 516021 total_time 63.602866 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 33152128/33554432(KiB) IOSize: 128(KiB) Throughput: 1.051655 GiB/sec, Avg_Latency: 926.230275 usecs ops: 259001 total_time 30.063398 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 33073152/33554432(KiB) IOSize: 256(KiB) Throughput: 2.072610 GiB/sec, Avg_Latency: 939.569986 usecs ops: 129192 total_time 15.218017 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 32385024/33554432(KiB) IOSize: 512(KiB) Throughput: 4.141073 GiB/sec, Avg_Latency: 940.998708 usecs ops: 63252 total_time 7.458155 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 33035264/33554432(KiB) IOSize: 1024(KiB) Throughput: 7.363967 GiB/sec, Avg_Latency: 995.792090 usecs ops: 32261 total_time 4.278249 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 33064960/33554432(KiB) IOSize: 2048(KiB) Throughput: 9.706526 GiB/sec, Avg_Latency: 1542.339197 usecs ops: 16145 total_time 3.248660 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 33050624/33554432(KiB) IOSize: 4096(KiB) Throughput: 10.941558 GiB/sec, Avg_Latency: 2808.434938 usecs ops: 8069 total_time 2.880717 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 32808960/33554432(KiB) IOSize: 8192(KiB) Throughput: 11.128248 GiB/sec, Avg_Latency: 5329.686308 usecs ops: 4005 total_time 2.811679 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 32931840/33554432(KiB) IOSize: 16384(KiB) Throughput: 12.062690 GiB/sec, Avg_Latency: 10241.347929 usecs ops: 2010 total_time 2.603586 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 32964608/33554432(KiB) IOSize: 32768(KiB) Throughput: 11.352876 GiB/sec, Avg_Latency: 20364.483383 usecs ops: 1006 total_time 2.769122 secs
IoType: READ XferType: ASYNC Threads: 8 DataSetSize: 32833536/33554432(KiB) IOSize: 65536(KiB) Throughput: 12.214788 GiB/sec, Avg_Latency: 40328.684011 usecs ops: 501 total_time 2.563491 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 31057664/33554432(KiB) IOSize: 64(KiB) Throughput: 0.475472 GiB/sec, Avg_Latency: 2056.027951 usecs ops: 485276 total_time 62.293671 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 31711360/33554432(KiB) IOSize: 128(KiB) Throughput: 0.953423 GiB/sec, Avg_Latency: 2040.438296 usecs ops: 247745 total_time 31.719733 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 29932800/33554432(KiB) IOSize: 256(KiB) Throughput: 1.971771 GiB/sec, Avg_Latency: 1963.678023 usecs ops: 116925 total_time 14.477413 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 32384512/33554432(KiB) IOSize: 512(KiB) Throughput: 3.789019 GiB/sec, Avg_Latency: 2038.438800 usecs ops: 63251 total_time 8.150995 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 31773696/33554432(KiB) IOSize: 1024(KiB) Throughput: 7.451750 GiB/sec, Avg_Latency: 2084.082347 usecs ops: 31029 total_time 4.066395 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 30664704/33554432(KiB) IOSize: 2048(KiB) Throughput: 10.866960 GiB/sec, Avg_Latency: 2613.598349 usecs ops: 14973 total_time 2.691106 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 32428032/33554432(KiB) IOSize: 4096(KiB) Throughput: 11.624171 GiB/sec, Avg_Latency: 5121.615579 usecs ops: 7917 total_time 2.660472 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 32333824/33554432(KiB) IOSize: 8192(KiB) Throughput: 10.458706 GiB/sec, Avg_Latency: 10234.127546 usecs ops: 3947 total_time 2.948351 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 33046528/33554432(KiB) IOSize: 16384(KiB) Throughput: 12.019203 GiB/sec, Avg_Latency: 20283.859308 usecs ops: 2017 total_time 2.622106 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 31555584/33554432(KiB) IOSize: 32768(KiB) Throughput: 10.668391 GiB/sec, Avg_Latency: 43784.952255 usecs ops: 963 total_time 2.820833 secs
IoType: READ XferType: ASYNC Threads: 16 DataSetSize: 27852800/33554432(KiB) IOSize: 65536(KiB) Throughput: 12.313113 GiB/sec, Avg_Latency: 79334.073293 usecs ops: 425 total_time 2.157253 secs
